timestamp,status,return_code,output,error
2025-10-15 13:27:57,success,0,,
2025-10-15 13:30:23,critical_failure,,,'NoneType' object has no attribute 'strip'
2025-10-15 13:34:58,success,0,,
2025-10-15 13:35:10,success,0,,
2025-10-15 13:38:28,success,0,,
2025-10-15 13:39:31,success,0,,
1,2025-10-15 13:41:54,success,0,,
2,2025-10-15 13:42:08,success,0,,
3,2025-10-15 13:42:18,success,0,,
4,2025-10-15 13:42:30,success,0,,
1,2025-10-15 13:44:50,success,0,,
2,2025-10-15 13:45:10,success,0,,
